LocID,Location,PopTotal,PopDensity
682,Saudi Arabia,34268.529,15.941
686,Senegal,16296.362,84.643
688,Serbia,8772.228,100.3
690,Seychelles,97.741,212.48
694,Sierra Leone,7813.207,108.246
702,Singapore,5804.343,8291.919
703,Slovakia,5457.012,113.48
704,Viet Nam,96462.108,311.098
705,Slovenia,2078.654,103.21
706,Somalia,15442.906,24.616
710,South Africa,58558.267,48.272
716,Zimbabwe,14645.473,37.858
724,Spain,46736.782,93.698
728,South Sudan,11062.114,18.106
729,Sudan,42813.237,24.256
732,Western Sahara,582.458,2.19
740,Suriname,581.363,3.727
748,Eswatini,1148.133,66.752
752,Sweden,10036.391,24.459
756,Switzerland,8591.361,217.415
760,Syrian Arab Republic,17070.132,92.959
762,Tajikistan,9321.023,66.598
764,Thailand,69625.581,136.283
768,Togo,8082.359,148.6
772,Tokelau,1.33,133
776,Tonga,104.497,145.135
780,Trinidad and Tobago,1394.969,271.924
784,United Arab Emirates,9770.526,116.872
788,Tunisia,11694.721,75.275
792,Turkey,83429.607,108.402
795,Turkmenistan,5942.094,12.645
796,Turks and Caicos Islands,38.194,40.204
798,Tuvalu,11.655,388.5
800,Uganda,44269.587,221.558
804,Ukraine,43993.643,75.94
807,North Macedonia,2083.458,82.611
818,Egypt,100388.076,100.847
826,United Kingdom,67530.161,279.131
830,Channel Islands,172.264,906.653
833,Isle of Man,84.589,148.402
834,United Republic of Tanzania,58005.461,65.484
840,US,329064.917,35.974
850,United States Virgin Islands,104.579,298.797
854,Burkina Faso,20321.383,74.274
858,Uruguay,3461.731,19.779
860,Uzbekistan,32981.715,77.531
862,Venezuela (Bolivarian Republic of),28515.829,32.329
876,Wallis and Futuna Islands,11.436,81.686
882,Samoa,197.093,69.644
887,Yemen,29161.922,55.234
894,Zambia,17861.034,24.026
900,World,7713468.205,59.291
901,More developed regions,1270630.32,25.88
902,Less developed regions,6442837.885,79.544
903,Africa,1308064.176,44.119
904,Latin America and the Caribbean,648120.956,32.182
905,Northern America,366600.944,19.655
906,Eastern Asia,1672611.12,144.684
908,Europe,747182.815,33.756
909,Oceania,42128.048,4.964
910,Eastern Africa,433904.943,65.078
911,Middle Africa,174308.427,26.83
912,Northern Africa,241780.765,31.119
913,Southern Africa,66629.894,25.137
914,Western Africa,391440.147,64.551
915,Caribbean,43335.006,191.74
916,Central America,177586.525,72.417
917,Europe,747182.815,33.756
918,Northern America,366600.944,19.655
920,South-Eastern Asia,662011.846,152.513
921,Central and Southern Asia,1991423.507,192.838
922,Western Asia,275324.793,57.299
923,Eastern Europe,293444.921,16.255
924,Northern Europe,105768.532,62.128
925,Southern Europe,152446.95,117.727
926,Western Europe,195522.412,180.239
927,Australia/New Zealand,29986.262,3.774
928,Melanesia,10918.534,20.617
931,South America,427199.425,24.466
934,"Less developed regions, excluding least developed countries",5409449.017,88.885
935,Asia,4601371.266,148.273
941,Least developed countries,1033388.868,51.315
947,Sub-Saharan Africa,1066283.411,48.735
948,"Less developed regions, excluding China",4977203.709,69.541
954,Micronesia,543.483,171.446
957,Polynesia,679.769,84.026
986,European Union (EU: 28),512516.929,120.883
1054,ESCAP: ASEAN,660718.726,152.738
1055,ESCAP: ECO,504210.404,64.383
1056,ESCAP: SAARC,1835297.503,384.631
1057,ESCAP: Central Asia,90214.32,21.964
1058,ESCAP: Pacific island dev. econ.,12129.02,22.432
1059,ESCAP: Least Developed Countries (LDCs),310553.245,149.233
1060,ESCAP: Landlocked countries (LLDCs),164025.746,24.641
1062,ESCAP: low income,2073030.029,277.71
1064,ESCAP: high income,222836.176,26.423
1065,ESCAP: other Asia-Pacific countries/areas,197481.05,50.882
1071,ESCAP region: East and North-East Asia,1648837.239,143.066
1072,ESCAP region: South-East Asia,662011.846,152.513
1073,ESCAP region: South and South-West Asia,2001641.003,279.178
1074,ESCAP region: North and Central Asia,236086.58,11.525
1075,ESCAP region: Pacific,42115.282,4.963
1105,China (and dependencies),1465634.176,155.51
